,name,salary,specialisation,experience,tags
11,Журналист-копирайтер,60000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондентКопирайтер, редактор, корректор",Опыт работы 14 лет 5 месяцев,[]
12,Журналист,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 14 лет,[]
13,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 9 месяцев,"['MS Office', 'Работа с людьми', 'Креативность', 'MS PowerPoint', 'Пользователь ПК', 'Adobe Photoshop', 'Умение работать в команде', 'Грамотная речь', 'Английский язык', 'Грамотность', 'Google Chrome']"
14,журналист,15000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 10 лет 1 месяц,[]
15,Журналист,25000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 15 лет,"['Исполнительность', 'Ответственность', 'Коммуникабельность']"
16,Журналист,50000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 9 лет 4 месяца,"['Пишу тексты, состаляю ТЗ, редактирую материалы']"
17,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 8 лет 10 месяцев,['Работоспособность']
18,"Журналист, пресс-секретарь, контент-менеджер",23000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 5 лет 5 месяцев,"['Поиск информации в интернет', 'Работа в команде', 'Контакты с журналистами', 'Журналистика', 'Интервьюирование']"
19,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 10 месяцев,"['Написание текстов', 'Написание статей', 'Написание рекламных статей', 'Организация мероприятий', 'Корректура текстов', 'Написание пресс-релизов', 'Редактирование', 'Английский язык', 'Литературное редактирование', 'Грамотная речь', 'Наполнение контентом', 'Журналистика', 'Интервьюирование', 'Организаторские навыки', 'Грамотность', 'Письменный перевод', 'Деловое общение']"
20,журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 6 лет 9 месяцев,"['Поиск информации в интернет', 'Телефонное интервью', 'Работа с большим объемом информации', 'Пользователь ПК', 'Интервьюирование']"
21,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 9 лет 2 месяца,"['Умение работать в коллективе', 'Грамотность', 'дисциплинированность, грамотность, ответственность, нацеленность на результат, коммуникабельность, к', 'доброжелательность, лояльность, дипломатичность,', 'Написание статей', 'Написание рекламных статей', 'Журналистика', 'Написание пресс-релизов', 'Копирайтинг', 'Поиск информации в интернет', 'Написание текстов']"
22,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 9 лет 6 месяцев,['Мед. книжка']
23,Журналист,500 EUR,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 13 лет 6 месяцев,[]
24,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 7 лет 4 месяца,"['Грамотность', 'Грамотная речь', 'Написание статей', 'Пользователь ПК', 'Креативность', 'Поиск информации в интернет']"
25,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 15 лет 11 месяцев,[]
26,Редактор-копирайтер,,"Специализации:Журналист, корреспондентКопирайтер, редактор, корректорPR-менеджер",Опыт работы 26 лет 5 месяцев,"['Написание пресс-релизов', 'Написание рекламных статей', 'Копирайтинг', 'Наполнение контентом', 'Журналистика', 'Интервьюирование', 'Литературное редактирование', 'Грамотная речь', 'Грамотность']"
27,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 7 лет 1 месяц,"['Репортажная фотосъемка', 'Журналистика', 'Фотография', 'Интервьюирование', 'Проведение опросов', 'Написание статей', 'Телефонное интервью', 'Interviews', 'Редактирование', 'Написание текстов', 'Литературное редактирование', 'Копирайтинг', 'Написание рекламных статей', 'Написание пресс-релизов', 'Рерайтинг', 'Редактирование текстов', 'Корректура текстов', 'Грамотная речь', 'Поиск информации в интернет', 'Креативность', 'Грамотность', 'Adobe Lightroom', 'Обработка изображений']"
28,Журналист,35000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 7 лет 11 месяцев,"['Стремление к профессиональному росту и желание развиваться, целеустремленность, коммуникабильность.', 'Adobe InDesign', 'Верстка', 'Журналистика', 'Пользователь ПК', 'Деловое общение', 'Работа с большим объемом информации', 'Поиск информации в интернет', 'Обработка изображений', 'Интервьюирование', 'Грамотность', 'Проведение опросов', 'Умение работать в коллективе', 'Грамотная речь', 'Работа в команде']"
29,Journalist,,"Specializations:Director, scriptwriter",Work experience 11 years 10 months,"['Television', 'Video Editing', 'Journalism', 'Journalistic Investigation', 'Politic Journalism', 'Television Production', 'Media Relations', 'PR', 'Business English', 'Music Journalism', 'Driving Licence B', 'Newspaper']"
30,Журналист,50000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 32 года 5 месяцев,['профессионализм и коммуникабельность']
31,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 5 лет 8 месяцев,"['Журналистика', 'Копирайтинг', 'Написание статей', 'Написание текстов', 'Написание рекламных статей', 'Интервьюирование', 'Рерайтинг', 'Грамотная речь', 'Пользователь ПК', 'Работа в команде', 'Музыкальная журналистика']"
32,журналист СМИ,15 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 15 лет 8 месяцев,[]
33,Журналист,40000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 14 лет 2 месяца,"['Ответственность', 'создание креативных текстов, аналитическое мышление,', 'эрудиция']"
34,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 6 лет 8 месяцев,"['Публичные выступления', 'MS Word', 'MS Excel', 'FastReport', 'Photojournalism', 'SMM']"
35,Журналист,50000 руб.,"Специализации:Журналист, корреспондент",Опыт работы 10 лет,"['Исполнительность', 'Коммуникабельность', 'Грамотность', 'Английский язык', 'Креативность', 'Написание текстов', 'Работа в команде', 'Написание статей']"
36,"Журналист, Копирайтер, Корреспондент, Пресс-секретарь, Пресс-атташе, Пресс-служба",20000 руб.,"Специализации:Копирайтер, редактор, корректорЖурналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 5 месяцев,"['Грамотная письменная и устная речь', 'Ответственность', 'Умение находить общий язык с людьми', 'Быстрая обучаемость', 'Желание заниматься любимым делом с полной отдачей', 'SEO-копирайтинг', 'Копирайтинг', 'Журналистика', 'знание закона о СМИ']"
37,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 11 лет 5 месяцев,"['Adobe Photoshop', 'MS Internet', 'Пользователь ПК']"
38,журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 22 года 7 месяцев,[]
39,Журналист,20000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 6 лет 5 месяцев,[]
40,Журналист,50000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 16 лет 5 месяцев,[]
41,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 6 лет,"['Творческое мышление', 'Поиск информации в интернет', 'Умение работать в коллективе', 'Обучение', 'Способность обучать других', 'Организаторские навыки', 'Стратегическое мышление', 'Написание текстов', 'Навыки межличностного общения', 'Навыки презентации']"
42,Журналист,20000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 6 лет 1 месяц,"['Написание сценариев', 'Написание текстов', 'Креативность', 'Пользователь ПК', 'Контакты с журналистами', 'Грамотность', 'Написание статей', 'Работа с большим объемом информации', 'Написание рекламных сценариев', 'Написание рекламных статей', 'Написание пресс-релизов', 'Поиск информации в интернет']"
43,Журналист,50000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 12 лет 5 месяцев,"['Исполнительность', 'Стрессоустойчивость', 'Интервьюирование', 'Написание статей', 'Написание текстов', 'Написание пресс-релизов', 'Журналистика', 'Редактирование', 'Редакторская деятельность', 'Грамотная речь', 'Креативность', 'Работа в команде', 'Фотография', 'Репортажная фотосъемка', 'Самостоятельность', 'Ответственность']"
44,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 24 года 10 месяцев,"['Коммуникабельность', 'Грамотность', 'Написание рекламных статей', 'Редактирование текстов', 'Проведение опросов', 'Поиск информации в интернет', 'Написание статей', 'Интервьюирование', 'Пользователь ПК', 'Копирайтинг', 'Работа с оргтехникой', 'Деловое общение']"
45,журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 12 лет 2 месяца,[]
46,журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 3 года 9 месяцев,"['Написание статей', 'Редактирование текстов', 'Литературное редактирование', 'Фотография']"
47,Журналист-редактор,30000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондентКопирайтер, редактор, корректор",Опыт работы 22 года 8 месяцев,[]
48,Журналист,40000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 22 года 5 месяцев,"['Написание статей', 'Грамотная речь']"
49,Журналист,10000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 5 лет 4 месяца,"['Грамотность', 'Английский язык', 'Креативность', 'Работа в команде', 'Написание статей', 'Работа с большим объемом информации', 'Написание пресс-релизов', 'Копирайтинг', 'Internet', 'Высокая скорость печати', 'Письменный перевод']"
50,Журналист-редактор,30000 руб.,"Специализации:Копирайтер, редактор, корректорЖурналист, корреспондентРежиссер, сценарист",Опыт работы 22 года 7 месяцев,[]
51,Журналист,30000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 1 год 2 месяца,['Работоспособность']
52,"корреспондент, журналист",20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 20 лет 9 месяцев,[]
53,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 4 года 2 месяца,"['Работоспособность', 'Ответственность', 'Креативность', 'Работа в команде', 'Грамотная речь', 'Пользователь ПК', 'Грамотность', 'Английский язык', 'Умение работать в команде', 'Internet', 'Поиск информации в интернет', 'Написание текстов', 'MS PowerPoint']"
54,журналист,7000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 11 лет 10 месяцев,[]
55,Журналист-копирайтер,,"Специализации:Журналист, корреспондентРежиссер, сценаристКопирайтер, редактор, корректор",Опыт работы 4 года,['Работоспособность']
56,Журналист-копирайтер,50000 руб.,"Специализации:Копирайтер, редактор, корректорРежиссер, сценаристЖурналист, корреспондент",Опыт работы 7 лет,[]
57,Журналист,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 18 лет 2 месяца,[]
58,Журналист-копирайтер,,"Специализации:Журналист, корреспондентКопирайтер, редактор, корректорРежиссер, сценарист",Опыт работы 3 года 11 месяцев,['Работоспособность']
59,журналист,10000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 14 лет 7 месяцев,[]
60,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 7 лет 5 месяцев,"['Рерайтинг', 'Написание статей', 'Копирайтинг', 'Редактирование', 'Написание рекламных статей', 'Поиск информации в интернет', 'Навыки межличностного общения', 'Ведение групп в социальных сетях', 'Наполнение контентом', 'Журналистика', 'Ведение переговоров', 'Пользователь ПК', 'Администрирование сайтов', 'Грамотность']"
61,журналист,20000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 16 лет,[]
62,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 29 лет 2 месяца,['Мед. книжка']
63,Журналист,20000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 11 лет 5 месяцев,"['Написание статей', 'Написание текстов', 'Копирайтинг', 'Ведение групп в социальных сетях', 'Творческое мышление', 'Написание рекламных статей', 'Написание пресс-релизов', 'Наполнение контентом', 'Рерайтинг']"
64,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 17 лет 9 месяцев,['Исполнительность']
65,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 11 лет 9 месяцев,[]
66,журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 31 год 5 месяцев,['Работоспособность']
67,Журналист,50000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 1 год,['Пишу статьи и новостные заметки']
68,журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 14 лет 9 месяцев,[]
69,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 11 лет 11 месяцев,[]
70,Журналист,15000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 9 лет 5 месяцев,"['Грамотность', 'Коммуникабельность', 'Креативность', 'Любознательность']"
71,Журналист,10000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 8 лет 10 месяцев,[]
72,Журналист-копирайтер,15000 руб.,"Специализации:Журналист, корреспондентКопирайтер, редактор, корректорРежиссер, сценарист",Опыт работы 6 лет 8 месяцев,"['Написание пресс-релизов', 'Написание статей', 'Интервьюирование', 'Сбор и анализ информации', 'Грамотность']"
73,Журналист,600 USD,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 9 лет,[]
74,Журналист,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 4 месяца,[]
75,Журналист,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 3 месяца,"['Пользователь ПК', 'Написание статей', 'Adobe Photoshop', 'Английский язык', 'Аналитическое мышление', 'Грамотность', 'Работа со СМИ', 'Поиск информации в интернет', 'Adobe Reader', 'Первичная документация', 'Грамотная речь', 'Ведение переговоров', 'Организаторские навыки', 'Деловая переписка', 'Работа в команде', 'Управление проектами', 'Деловая коммуникация', 'Делопроизводство']"
76,Журналист,36000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 10 лет 10 месяцев,"['Инициативность', 'самоконтроль', 'Ответственность', 'Написание рекламных статей', 'Работа в команде', 'Креативность', 'Поиск информации в интернет', 'Написание статей', 'Грамотная речь', 'Водительское удостоверение категории B', 'Пользователь ПК', 'Копирайтинг', 'Рерайтинг', 'Интернет-реклама', 'Интервьюирование', 'Навыки межличностного общения', 'Формирование экспертной базы']"
77,Журналист,60000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 3 года 3 месяца,"['Написание статей', 'Написание текстов', 'Наполнение контентом', 'Редактирование', 'Журналистика', 'Креативность', 'Грамотная речь', 'Написание рекламных статей', 'Письменный перевод', 'Английский язык', 'Рерайтинг', 'Деловое общение', 'Литературное редактирование', 'Копирайтинг', 'Испанский язык', 'Интервью', 'Общение', 'Интервьюирование', 'Запросы', 'Взаимодействие с государственными контролирующими органами', 'Перевод']"
78,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 6 лет 7 месяцев,"['Коммуникабельность', 'Грамотность', 'Креативность', 'Работа в команде', 'Написание статей', 'Работа с большим объемом информации', 'Высокая скорость печати', 'Internet']"
79,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 6 лет 7 месяцев,[]
80,Журналист,10000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 5 лет 5 месяцев,"['Написание статей и новостей в сжатые сроки', 'Работа с большим объемом информации', 'Интервьюирование', 'Творческое мышление', 'Грамотность', 'Пользователь ПК', 'MS PowerPoint', 'Adobe Photoshop', 'Деловая переписка', 'Грамотная речь', 'Internet']"
81,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 9 лет 3 месяца,"['Грамотная речь', 'Деловая коммуникация', 'Работа с жалобами клиентов', 'Знание иностранных языков', 'MS Office', 'Пользователь ПК', 'Грамотность', 'Английский язык', 'Организаторские навыки', 'Adobe Photoshop', 'Организация мероприятий', 'HTML', 'CSS', 'Телефонные переговоры', 'Написание текстов', 'Работа с большим объемом информации', 'Копирайтинг', 'Social Media Marketing', 'Рерайтинг', 'Наполнение контентом', 'Google Docs', 'Работа в команде', 'Написание статей']"
82,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 29 лет 9 месяцев,[]
83,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 8 лет 1 месяц,"['Выездные мероприятия', 'Копирайтинг']"
84,Журналист,30000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 1 год 10 месяцев,"['Пользователь ПК', 'Грамотность', 'Грамотная речь', 'Adobe Photoshop', 'Поиск информации в интернет']"
85,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 10 лет 5 месяцев,[]
86,журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 12 лет 10 месяцев,[]
87,Журналист,20000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 10 лет 2 месяца,"['Коммуникабельность', 'Написание текстов', 'Сбор информации']"
88,Журналист,25000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 22 года 3 месяца,"['Хорошие навыки поиска и отбора необходимой информации, аналитические способности, образное мышление,']"
89,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 4 месяца,[]
90,Журналист,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 6 месяцев,"['Музыкальная журналистика', 'Журнал', 'Журналистика']"
91,Журналист,35000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 9 лет 1 месяц,"['Грамотность', 'Пользователь ПК', 'Работа с оргтехникой', 'Умение работать в команде', 'Написание текстов', 'Написание статей', 'Написание пресс-релизов', 'Креативность', 'Работа с большим объемом информации', 'Организация мероприятий', 'Проведение презентаций']"
92,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 15 лет 2 месяца,['Работоспособность']
93,журналист,25000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 10 месяцев,['Написание статей']
94,"Журналист, пресс-секретарь",,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 39 лет 9 месяцев,"['Пользователь ПК', 'MS Word', 'Adobe Photoshop', 'Internet', 'MS Internet Explorer', 'Поиск информации в интернет', 'Работа с оргтехникой', 'Работа с большим объемом информации', 'Adobe Illustrator', 'CorelDRAW', 'Adobe InDesign']"
95,Журналист,50000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 18 лет 4 месяца,"['Копирайтинг', 'Рерайтинг', 'Видеосъемка', 'Видеомонтаж', 'Режиссура', 'Верстка']"
96,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 9 месяцев,[]
97,Журналист,20 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 9 месяцев,"['Грамотная речь', 'Пользователь ПК', 'Английский язык', 'Креативность', 'Работа в команде', 'Ведение переговоров', 'Написание статей', 'Интервьюирование', 'Поиск информации в интернет']"
98,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 12 лет 7 месяцев,[]
99,журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 12 лет,[]
100,Журналист,20000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 12 лет,[]
101,Журналист,25000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 9 лет 9 месяцев,[]
102,Журналист,10000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 8 лет 4 месяца,"['Коммуникабельность', 'Оперативность', 'Грамотность', 'Грамотная речь']"
103,Журналист,25000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 3 года 3 месяца,[]
104,журналист,800 USD,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 25 лет 5 месяцев,[]
105,Журналист,15000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 7 лет 9 месяцев,"['Грамотность', 'Поиск информации в интернет', 'Креативность', 'Редактирование текстов', 'Интервьюирование', 'Журналистика', 'Пользователь ПК', 'Грамотная речь', 'Написание статей', 'Организаторские навыки', 'Работа с большим объемом информации']"
106,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 8 лет 10 месяцев,"['Редактирование текста ', 'MS PowerPoint', 'MS Excel', 'Верстка']"
107,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 7 лет 1 месяц,"['Interviews', 'Написание статей', 'Английский язык', 'Деловая переписка', 'Организаторские навыки', 'Adobe Photoshop', 'Журналистика', 'Редактирование', 'Интервьюирование', 'Написание текстов']"
108,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 2 года 9 месяцев,"['работа с компьютером, фото/видео техникой', 'Коммуникабельность', 'быстрая обучаемость', 'желание работать и учиться']"
109,Журналист,60000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 1 год 3 месяца,['Обучаемость']
110,"Журналист, корреспондент",40000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 5 лет 10 месяцев,[]
